id,name,max_context_length,aliases,deprecation,completion_chat,function_calling,fine_tuning,vision
codestral-2508,codestral-2508,256000,codestral-latest,,True,True,False,False
codestral-embed,codestral-embed,8192,codestral-embed-2505,,False,False,False,False
codestral-embed-2505,codestral-embed,8192,codestral-embed,,False,False,False,False
codestral-latest,codestral-2508,256000,codestral-2508,,True,True,False,False
devstral-2512,devstral-2512,262144,,,True,True,False,False
devstral-latest,devstral-2512,262144,,,True,True,False,False
devstral-medium-2507,devstral-medium-2507,131072,,2026-05-31T12:00:00Z,True,True,False,False
devstral-medium-latest,devstral-2512,262144,,,True,True,False,False
devstral-small-2507,devstral-small-2507,131072,,2026-05-31T12:00:00Z,True,True,False,False
labs-leanstral-2603,labs-leanstral-2603,196608,,,True,True,False,True
magistral-medium-2509,magistral-medium-2509,131072,magistral-medium-latest,,True,True,True,True
magistral-medium-latest,magistral-medium-2509,131072,magistral-medium-2509,,True,True,True,True
magistral-small-2509,magistral-small-2509,131072,,2026-07-31T12:00:00Z,True,True,True,True
magistral-small-latest,mistral-small-2603,262144,mistral-small-2603|mistral-small-latest|mistral-vibe-cli-fast,,True,True,False,True
ministral-14b-2512,ministral-14b-2512,262144,ministral-14b-latest,,True,True,True,True
ministral-14b-latest,ministral-14b-2512,262144,ministral-14b-2512,,True,True,True,True
ministral-3b-2512,ministral-3b-2512,131072,ministral-3b-latest,,True,True,True,True
ministral-3b-latest,ministral-3b-2512,131072,ministral-3b-2512,,True,True,True,True
ministral-8b-2512,ministral-8b-2512,262144,ministral-8b-latest,,True,True,True,True
ministral-8b-latest,ministral-8b-2512,262144,ministral-8b-2512,,True,True,True,True
mistral-embed,mistral-embed-2312,8192,mistral-embed-2312,,False,False,False,False
mistral-embed-2312,mistral-embed-2312,8192,mistral-embed,,False,False,False,False
mistral-large-2411,mistral-large-2411,131072,,2026-05-31T12:00:00Z,True,True,True,False
mistral-large-2512,mistral-large-2512,262144,,,True,True,True,True
mistral-large-2512,mistral-large-2512,262144,,,True,True,True,True
mistral-large-latest,mistral-large-2512,262144,,,True,True,True,True
mistral-large-latest,mistral-large-2512,262144,,,True,True,True,True
mistral-large-pixtral-2411,pixtral-large-2411,131072,pixtral-large-2411|pixtral-large-latest,2026-05-31T12:00:00Z,True,True,False,True
mistral-medium,mistral-medium-2508,131072,mistral-medium-2508|mistral-medium-latest|mistral-vibe-cli-with-tools,,True,True,True,True
mistral-medium-2505,mistral-medium-2505,131072,,,True,True,True,True
mistral-medium-2508,mistral-medium-2508,131072,mistral-medium-latest|mistral-medium|mistral-vibe-cli-with-tools,,True,True,True,True
mistral-medium-2604,mistral-medium-3-5,262144,,,True,True,False,True
mistral-medium-3,mistral-medium-3-5,262144,,,True,True,False,True
mistral-medium-3-5,mistral-medium-3-5,262144,,,True,True,False,True
mistral-medium-3.5,mistral-medium-3-5,262144,,,True,True,False,True
mistral-medium-c21211-r0-75,mistral-medium-3-5,262144,,,True,True,False,True
mistral-medium-latest,mistral-medium-2508,131072,mistral-medium-2508|mistral-medium|mistral-vibe-cli-with-tools,,True,True,True,True
mistral-moderation-2411,mistral-moderation-2411,8192,mistral-moderation-latest,2026-06-30T12:00:00Z,False,False,False,False
mistral-moderation-2603,mistral-moderation-2603,131072,,,False,False,False,False
mistral-moderation-latest,mistral-moderation-2411,8192,mistral-moderation-2411,2026-06-30T12:00:00Z,False,False,False,False
mistral-ocr-2505,mistral-ocr-2505,16384,,2026-05-31T12:00:00Z,False,True,False,True
mistral-ocr-2512,mistral-ocr-2512,16384,mistral-ocr-latest,,False,True,False,True
mistral-ocr-latest,mistral-ocr-2512,16384,mistral-ocr-2512,,False,True,False,True
mistral-small-2506,mistral-small-2506,131072,,2026-07-31T12:00:00Z,True,True,False,True
mistral-small-2603,mistral-small-2603,262144,mistral-small-latest|mistral-vibe-cli-fast|magistral-small-latest,,True,True,False,True
mistral-small-latest,mistral-small-2603,262144,mistral-small-2603|mistral-vibe-cli-fast|magistral-small-latest,,True,True,False,True
mistral-tiny-2407,open-mistral-nemo,131072,open-mistral-nemo|open-mistral-nemo-2407|mistral-tiny-latest,,True,True,True,False
mistral-tiny-latest,open-mistral-nemo,131072,open-mistral-nemo|open-mistral-nemo-2407|mistral-tiny-2407,,True,True,True,False
mistral-vibe-cli-fast,mistral-small-2603,262144,mistral-small-2603|mistral-small-latest|magistral-small-latest,,True,True,False,True
mistral-vibe-cli-latest,mistral-medium-3-5,262144,,,True,True,False,True
mistral-vibe-cli-with-tools,mistral-medium-2508,131072,mistral-medium-2508|mistral-medium-latest|mistral-medium,,True,True,True,True
open-mistral-nemo,open-mistral-nemo,131072,open-mistral-nemo-2407|mistral-tiny-2407|mistral-tiny-latest,,True,True,True,False
open-mistral-nemo-2407,open-mistral-nemo,131072,open-mistral-nemo|mistral-tiny-2407|mistral-tiny-latest,,True,True,True,False
pixtral-large-2411,pixtral-large-2411,131072,pixtral-large-latest|mistral-large-pixtral-2411,2026-05-31T12:00:00Z,True,True,False,True
pixtral-large-latest,pixtral-large-2411,131072,pixtral-large-2411|mistral-large-pixtral-2411,2026-05-31T12:00:00Z,True,True,False,True
voxtral-mini-2507,voxtral-mini-2507,32768,voxtral-mini-latest,2026-05-31T12:00:00Z,True,False,False,False
voxtral-mini-2507,voxtral-mini-transcribe-2507,16384,voxtral-mini-transcribe-2507,2026-05-31T12:00:00Z,False,False,False,False
voxtral-mini-2602,voxtral-mini-2602,16384,,,False,False,False,False
voxtral-mini-latest,voxtral-mini-2507,32768,voxtral-mini-2507,2026-05-31T12:00:00Z,True,False,False,False
voxtral-mini-latest,voxtral-mini-2602,16384,,,False,False,False,False
voxtral-mini-realtime-2602,voxtral-mini-transcribe-realtime-2602,32768,voxtral-mini-transcribe-realtime-2602|voxtral-mini-realtime-latest,,False,False,False,False
voxtral-mini-realtime-latest,voxtral-mini-transcribe-realtime-2602,32768,voxtral-mini-transcribe-realtime-2602|voxtral-mini-realtime-2602,,False,False,False,False
voxtral-mini-transcribe-2507,voxtral-mini-transcribe-2507,16384,voxtral-mini-2507,2026-05-31T12:00:00Z,False,False,False,False
voxtral-mini-transcribe-realtime-2602,voxtral-mini-transcribe-realtime-2602,32768,voxtral-mini-realtime-2602|voxtral-mini-realtime-latest,,False,False,False,False
voxtral-mini-tts-2603,voxtral-mini-tts-2603,4096,voxtral-mini-tts-latest,,False,True,True,False
voxtral-mini-tts-latest,voxtral-mini-tts-2603,4096,voxtral-mini-tts-2603,,False,True,True,False
voxtral-small-2507,voxtral-small-2507,32768,voxtral-small-latest,,True,True,False,False
voxtral-small-latest,voxtral-small-2507,32768,voxtral-small-2507,,True,True,False,False
